epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,111569,0.39911,0.68056,0.35611,0.00531,0.10461,0.94715,0.95138,0.96689,0.94542,0.95547,0.95517,0.9721,0.91271,0.25576,0.56146,0.21888,0.00737,0,0.000603555,0.000603555,0.000603555
66,113112,0.4055,0.69254,0.35342,0.0054,0.09878,0.96034,0.95015,0.96756,0.94913,0.96588,0.95614,0.97316,0.91064,0.24782,0.57708,0.22032,0.00722,0,0.000589516,0.000589516,0.000589516
67,114638,0.39463,0.68136,0.35862,0.00528,0.10471,0.96038,0.93902,0.96214,0.94291,0.96641,0.94555,0.96893,0.90113,0.24879,0.6078,0.22723,0.00714,0,0.000575525,0.000575525,0.000575525
68,116146,0.39851,0.70834,0.35058,0.00536,0.099,0.95325,0.95186,0.96168,0.94246,0.95852,0.95773,0.96765,0.90626,0.25481,0.57782,0.24172,0.00721,0,0.000561593,0.000561593,0.000561593
69,117899,0.3945,0.68481,0.35566,0.00524,0.10092,0.95596,0.95265,0.96499,0.94652,0.96387,0.95767,0.97054,0.91102,0.24145,0.58974,0.21969,0.00688,0,0.000547728,0.000547728,0.000547728
70,119504,0.39535,0.68761,0.33062,0.00522,0.09735,0.95589,0.95205,0.96458,0.94445,0.96337,0.95735,0.96917,0.9088,0.25387,0.60544,0.21588,0.00733,0,0.00053394,0.00053394,0.00053394
71,121066,0.3903,0.7079,0.33163,0.00509,0.09504,0.95871,0.95301,0.96138,0.93976,0.96337,0.95801,0.96583,0.9041,0.24824,0.57175,0.23288,0.00708,0,0.000520238,0.000520238,0.000520238
72,122982,0.38661,0.70506,0.32992,0.00511,0.0958,0.96266,0.95111,0.96441,0.94516,0.9681,0.9577,0.96937,0.90824,0.25609,0.56738,0.20317,0.0073,0,0.000506632,0.000506632,0.000506632
73,124481,0.38599,0.67557,0.33535,0.00508,0.09589,0.95901,0.94624,0.96548,0.94536,0.9638,0.95125,0.96961,0.90914,0.25461,0.57892,0.22107,0.00717,0,0.000493131,0.000493131,0.000493131
74,126266,0.38146,0.67514,0.32164,0.00497,0.09095,0.96165,0.94574,0.96705,0.94716,0.96703,0.95122,0.97142,0.91247,0.2491,0.5807,0.23056,0.00712,0,0.000479744,0.000479744,0.000479744
75,128039,0.38393,0.68692,0.32887,0.00505,0.09478,0.96268,0.95197,0.96295,0.94334,0.96768,0.95651,0.9681,0.90831,0.24345,0.58059,0.21849,0.00692,0,0.000466481,0.000466481,0.000466481
76,129903,0.38136,0.68928,0.32095,0.00511,0.09185,0.95112,0.94938,0.96862,0.95172,0.95758,0.95603,0.97267,0.91455,0.24347,0.58544,0.21056,0.00696,0,0.000453351,0.000453351,0.000453351
77,131620,0.37612,0.67177,0.31763,0.00497,0.09483,0.93639,0.95589,0.96413,0.947,0.94009,0.95995,0.96692,0.90985,0.24081,0.61764,0.21763,0.00696,0,0.000440362,0.000440362,0.000440362
78,133324,0.38104,0.68682,0.32462,0.00497,0.09136,0.95979,0.94986,0.96728,0.94955,0.96558,0.95453,0.97063,0.91389,0.24477,0.62564,0.2101,0.00715,0,0.000427524,0.000427524,0.000427524
79,135103,0.36525,0.66866,0.31225,0.00477,0.08638,0.94867,0.95099,0.96532,0.94587,0.95393,0.95485,0.97015,0.9125,0.24485,0.70684,0.21457,0.00697,0,0.000414845,0.000414845,0.000414845
80,136933,0.37723,0.68792,0.31932,0.00494,0.0924,0.95654,0.94842,0.96465,0.94513,0.96286,0.95381,0.97017,0.91144,0.24038,0.58943,0.21467,0.00686,0,0.000402334,0.000402334,0.000402334
81,138563,0.37451,0.68637,0.31423,0.00494,0.09072,0.9654,0.9514,0.96585,0.94751,0.96963,0.95584,0.97033,0.91361,0.23735,0.63604,0.20075,0.00668,0,0.00039,0.00039,0.00039
82,140085,0.36381,0.66313,0.30663,0.00473,0.08452,0.96203,0.94912,0.96439,0.94602,0.9668,0.95353,0.96894,0.91041,0.24244,0.63667,0.22234,0.0069,0,0.000377851,0.000377851,0.000377851
83,141658,0.36095,0.65614,0.30587,0.00473,0.08547,0.96075,0.95042,0.96183,0.94337,0.96549,0.95507,0.96638,0.91022,0.24267,0.63016,0.21617,0.00686,0,0.000365895,0.000365895,0.000365895
84,143220,0.36225,0.66557,0.29831,0.00476,0.08469,0.96138,0.95088,0.96331,0.94416,0.96671,0.9561,0.96814,0.91189,0.24227,0.67181,0.2152,0.00688,0,0.000354141,0.000354141,0.000354141
85,144773,0.35746,0.65431,0.28458,0.00469,0.07941,0.95317,0.94966,0.9625,0.94553,0.95814,0.95453,0.96696,0.91175,0.23788,0.635,0.22504,0.00672,0,0.000342596,0.000342596,0.000342596
86,146323,0.35534,0.65384,0.29961,0.00458,0.08573,0.95451,0.95585,0.96196,0.94384,0.96488,0.9567,0.96779,0.91117,0.2356,0.67849,0.20927,0.00661,0,0.000331269,0.000331269,0.000331269
87,148153,0.35437,0.64546,0.28677,0.00464,0.08173,0.95143,0.94997,0.96452,0.94657,0.95687,0.95449,0.97073,0.91407,0.23572,0.65907,0.21646,0.00662,0,0.000320167,0.000320167,0.000320167
88,149823,0.355,0.63813,0.29093,0.00457,0.08192,0.95745,0.95331,0.96536,0.94715,0.96275,0.95512,0.96905,0.91326,0.23474,0.69561,0.21414,0.0066,0,0.000309298,0.000309298,0.000309298
89,151565,0.35177,0.64441,0.29036,0.00459,0.08089,0.95587,0.95524,0.96583,0.94806,0.96178,0.96097,0.97053,0.91225,0.23295,0.68833,0.22095,0.00654,0,0.000298669,0.000298669,0.000298669
90,153286,0.34929,0.62884,0.28175,0.00445,0.08066,0.96124,0.94988,0.9662,0.94945,0.96749,0.95669,0.97071,0.9174,0.23391,0.6424,0.20329,0.00658,0,0.000288289,0.000288289,0.000288289
91,154870,0.35058,0.64923,0.28218,0.00461,0.0811,0.95977,0.95141,0.96703,0.94986,0.97032,0.95378,0.97242,0.91796,0.23221,0.65468,0.20648,0.00652,0,0.000278162,0.000278162,0.000278162
92,156576,0.3487,0.66583,0.28163,0.00455,0.08263,0.96102,0.94943,0.96592,0.94887,0.9671,0.9551,0.971,0.91695,0.23846,0.64883,0.20724,0.00674,0,0.000268298,0.000268298,0.000268298
93,158220,0.34116,0.65316,0.27064,0.00435,0.07628,0.9554,0.95297,0.96783,0.95036,0.96183,0.9603,0.97291,0.91914,0.2351,0.67213,0.21703,0.00665,0,0.000258702,0.000258702,0.000258702
94,159775,0.34618,0.64377,0.27425,0.00446,0.07739,0.95785,0.95014,0.96543,0.94904,0.9656,0.9521,0.97081,0.91511,0.23393,0.67373,0.20098,0.00659,0,0.000249381,0.000249381,0.000249381
95,161440,0.33877,0.63071,0.26754,0.00439,0.0733,0.96006,0.95136,0.96576,0.94845,0.96402,0.95546,0.97103,0.91548,0.23445,0.70251,0.19362,0.00664,0,0.000240341,0.000240341,0.000240341
96,163046,0.33967,nan,0.27665,0.00437,0.07831,0.96912,0.94904,0.96636,0.94914,0,0,0,0,0.2345,nan,0.19748,0.00661,0,0.000231589,0.000231589,0.000231589
97,164722,0.34328,nan,0.27718,0.00442,0.07582,0.96329,0.94268,0.96496,0.9474,0,0,0,0,0.23345,nan,0.20676,0.00659,0,0.000223131,0.000223131,0.000223131
